symbol,display_symbol,description,exchange
BINANCE:WINBNB,WIN/BNB,Binance WIN/BNB,BINANCE
BINANCE:SKYBTC,SKY/BTC,Binance SKY/BTC,BINANCE
BINANCE:MFTBNB,MFT/BNB,Binance MFT/BNB,BINANCE
BINANCE:LRCBTC,LRC/BTC,Binance LRC/BTC,BINANCE
BINANCE:CVCUSDT,CVC/USDT,Binance CVC/USDT,BINANCE
BINANCE:TOMOUSDT,TOMO/USDT,Binance TOMO/USDT,BINANCE
BINANCE:XTZBUSD,XTZ/BUSD,Binance XTZ/BUSD,BINANCE
BINANCE:CVXUSDT,CVX/USDT,Binance CVX/USDT,BINANCE
BINANCE:CVXBUSD,CVX/BUSD,Binance CVX/BUSD,BINANCE
BINANCE:WTCETH,WTC/ETH,Binance WTC/ETH,BINANCE
BINANCE:BSWETH,BSW/ETH,Binance BSW/ETH,BINANCE
BINANCE:KNCBNB,KNC/BNB,Binance KNC/BNB,BINANCE
BINANCE:ASTBTC,AST/BTC,Binance AST/BTC,BINANCE
BINANCE:TKOUSDT,TKO/USDT,Binance TKO/USDT,BINANCE
BINANCE:XLMUSDT,XLM/USDT,Binance XLM/USDT,BINANCE
BINANCE:PROSETH,PROS/ETH,Binance PROS/ETH,BINANCE
BINANCE:BSWUSDT,BSW/USDT,Binance BSW/USDT,BINANCE
BINANCE:NUBNB,NU/BNB,Binance NU/BNB,BINANCE
BINANCE:ADAUPUSDT,ADAUP/USDT,Binance ADAUP/USDT,BINANCE
BINANCE:CELRUSDT,CELR/USDT,Binance CELR/USDT,BINANCE
BINANCE:HBARBNB,HBAR/BNB,Binance HBAR/BNB,BINANCE
BINANCE:AGIXBUSD,AGIX/BUSD,Binance AGIX/BUSD,BINANCE
BINANCE:SNMETH,SNM/ETH,Binance SNM/ETH,BINANCE
BINANCE:NEAREUR,NEAR/EUR,Binance NEAR/EUR,BINANCE
BINANCE:XZCUSDT,XZC/USDT,Binance XZC/USDT,BINANCE
BINANCE:FTMBNB,FTM/BNB,Binance FTM/BNB,BINANCE
BINANCE:MDXBTC,MDX/BTC,Binance MDX/BTC,BINANCE
BINANCE:MCBTC,MC/BTC,Binance MC/BTC,BINANCE
BINANCE:LTCBRL,LTC/BRL,Binance LTC/BRL,BINANCE
BINANCE:SUSHIBUSD,SUSHI/BUSD,Binance SUSHI/BUSD,BINANCE
BINANCE:AKROUSDT,AKRO/USDT,Binance AKRO/USDT,BINANCE
BINANCE:BTCUSDP,BTC/USDP,Binance BTC/USDP,BINANCE
BINANCE:AMBETH,AMB/ETH,Binance AMB/ETH,BINANCE
BINANCE:HOOKBUSD,HOOK/BUSD,Binance HOOK/BUSD,BINANCE
BINANCE:BARBTC,BAR/BTC,Binance BAR/BTC,BINANCE
BINANCE:DUSKUSDC,DUSK/USDC,Binance DUSK/USDC,BINANCE
BINANCE:RIFUSDT,RIF/USDT,Binance RIF/USDT,BINANCE
BINANCE:OGBTC,OG/BTC,Binance OG/BTC,BINANCE
BINANCE:DGDBTC,DGD/BTC,Binance DGD/BTC,BINANCE
BINANCE:DOGEUSDC,DOGE/USDC,Binance DOGE/USDC,BINANCE
BINANCE:LOOMBTC,LOOM/BTC,Binance LOOM/BTC,BINANCE
BINANCE:WINBRL,WIN/BRL,Binance WIN/BRL,BINANCE
BINANCE:XNOBTC,XNO/BTC,Binance XNO/BTC,BINANCE
BINANCE:DEXEUSDT,DEXE/USDT,Binance DEXE/USDT,BINANCE
BINANCE:SHIBGBP,SHIB/GBP,Binance SHIB/GBP,BINANCE
BINANCE:ICPRUB,ICP/RUB,Binance ICP/RUB,BINANCE
BINANCE:MATICETH,MATIC/ETH,Binance MATIC/ETH,BINANCE
